architecture,preproc_variant,val_subject,f1,hp_trial
LSTM_STFT_Dense,1,1,0.621109413266908,trial_03
LSTM_STFT_Dense,1,2,0.5742806972347209,trial_03
LSTM_STFT_Dense,1,3,0.4895800384235043,trial_03
LSTM_STFT_Dense,1,4,0.5467644241195767,trial_03
LSTM_STFT_Dense,1,5,0.5960882772106124,trial_03
LSTM_STFT_Dense,1,6,0.47647550479973516,trial_03
LSTM_STFT_Dense,1,7,0.48519862490450727,trial_03
LSTM_STFT_Dense,1,8,0.634564692246085,trial_03
LSTM_STFT_Dense,1,9,0.656294921117542,trial_03
LSTM_STFT_Dense,1,10,0.632701413475839,trial_03
LSTM_STFT_Dense,1,11,0.37838409349282265,trial_03
LSTM_STFT_Dense,2,1,0.3882807332010328,trial_10
LSTM_STFT_Dense,2,2,0.4853726486093526,trial_10
LSTM_STFT_Dense,2,3,0.4904241500761871,trial_10
LSTM_STFT_Dense,2,4,0.4888491685663643,trial_10
LSTM_STFT_Dense,2,5,0.5788518481183471,trial_10
LSTM_STFT_Dense,2,6,0.5625888592054006,trial_10
LSTM_STFT_Dense,2,7,0.4840780459501003,trial_10
LSTM_STFT_Dense,2,8,0.4932520588902356,trial_10
LSTM_STFT_Dense,2,9,0.4893989331536078,trial_10
LSTM_STFT_Dense,2,10,0.4678050130904803,trial_10
LSTM_STFT_Dense,2,11,0.41971911853334787,trial_10
LSTM_STFT_Dense,3,1,0.38850466977762643,trial_02
LSTM_STFT_Dense,3,2,0.6924974327792868,trial_02
LSTM_STFT_Dense,3,3,0.4904933243380558,trial_02
LSTM_STFT_Dense,3,4,0.63384669758506,trial_02
LSTM_STFT_Dense,3,5,0.6839955656714781,trial_02
LSTM_STFT_Dense,3,6,0.5650629115571844,trial_02
LSTM_STFT_Dense,3,7,0.5697183356382546,trial_02
LSTM_STFT_Dense,3,8,0.4946461371705253,trial_02
LSTM_STFT_Dense,3,9,0.5979969684601243,trial_02
LSTM_STFT_Dense,3,10,0.6056710033306086,trial_02
LSTM_STFT_Dense,3,11,0.4253376492896671,trial_02
